SENTENCE	FULL_CONTEXT	MOVIE_ID	SENT_ID	REGION	YEAR
Oh, man, you made friends with' em.	Give me tonight to work on it. <i> Oh, man, you made friends with' em. </i> See, friendship is the booze they feed you...'cause they want you to get drunk and feel like you belong.	54446	1733	US	2000
He could pitch a hundred-mile-an-hour fastball, that's why.	Well, Flanagan, he... <i> He could pitch a hundred-mile-an-hour fastball, that's why. </i> - So, what happened?	4744540	671	US	2012
It's an account, that's all.	They don't got trusts in Switzerland. <i> It's an account, that's all. </i> I know the bank well.	3967329	1818	US	2010
I thought you were the assistant manager.	Really? <i> I thought you were the assistant manager. </i> What, are you her personal secretary, too?	5905224	324	US	2012
On September 12th, 2001, that was over.	- Okay. <i> On September 12th, 2001, that was over. </i> He wants nothing to do with me.	3151540	1256	US	2007
Home Why I keep returning	Where the wheels are turning <i> Home Why I keep returning </i> Home Will infect whatever you do	3967329	562	US	2010
And whatever you say till the day that I die, you're my gal.	I'm your dad. <i> And whatever you say till the day that I die, you're my gal. </i> You're the only one.	3967329	1550	US	2010
Seat back and tray tables locked.	- Seats and tray tables. <i> Seat back and tray tables locked. </i> And our pending graduate, William Miller, not present.	54446	1516	US	2000
And Mike's gonna be a father!	Mazel Tov! <i> And Mike's gonna be a father! </i> Everybody, raise your glass.	5905224	1413	US	2012
I'm sorry, Jake, but this is simply a trade I cannot make.	This is time, Gordon. <i> I'm sorry, Jake, but this is simply a trade I cannot make. </i> You're a sad man, Gordon.	3967329	2130	US	2010
- Just watch me do it first.	- Let me try it. <i> - Just watch me do it first. </i> Let me just try it.	3151540	842	US	2007
I noticed in the record store, you were holding up a Bob Seger album.	And how would you describe your lifestyle, Charlie? <i> I noticed in the record store, you were holding up a Bob Seger album. </i> Are you a Seger man, Nigel?	3151540	1356	US	2007
This dictator, Ojukwa, he says Western bankers are greedy.	Guinea's pulling the plug. <i> This dictator, Ojukwa, he says Western bankers are greedy. </i> What else is new?	3967329	811	US	2010
Tell me, what's your family like?	- You know... you know all about us, and I don't know shit about you. <i> Tell me, what's your family like? </i> My dad died of a heart attack... and my sister believes that my mom is so intense... that she had to escape our family... and they can't seem to find a way to get through it.	54446	902	US	2000
Did I say something wrong here?	Just needed to talk to someone to help me deal with why you left me. <i> Did I say something wrong here? </i> I just needed to understand why after mom died... you took a 6-year-old to live with an uncle that she barely knew... and you left her there for a year and you didn't even call, not once.	4744540	1209	US	2012
And we made it together.	The cover of Rolling Stone. <i> And we made it together. </i> - And they don't just put somebody...	54446	1456	US	2000
Anyway, I need you around to talk to her.	It wasn't from my part of the family, that's for sure. <i> Anyway, I need you around to talk to her. </i> You were always good at that.	4744540	398	US	2012
So I deposited a check of$ 100 million made out to United Fusion.	I like to try the one that I haven't tried before. <i> So I deposited a check of$ 100 million made out to United Fusion. </i> From some offshore fund no one needs to know about.	3967329	2269	US	2010
Stop thinking of this as just your divorce and start thinking of this as a... celebration of our lives together.	Honey, you're going about this all the wrong way. <i> Stop thinking of this as just your divorce and start thinking of this as a... celebration of our lives together. </i> Start having fun with it, and if you do, then the guests will be more likely to come.	5905224	1648	US	2012
Are you sure that's a good idea?	The people around him right now, they're just enabling him. <i> Are you sure that's a good idea? </i> I mean, what do the experts say?	3151540	1279	US	2007
You go to bed too late.	It means their day can't get any better. <i> You go to bed too late. </i> You don't sleep enough.	3967329	53	US	2010
And let me say what nobody else wants to say.	Deal with it. <i> And let me say what nobody else wants to say. </i> - What?	54446	882	US	2000
So, what are you guys talking about?	They're wonderful. <i> So, what are you guys talking about? </i> What's so wonderful?	3151540	1522	US	2007
It doesn't mean you can take away my day with him.	Mommy and daddy are talking. <i> It doesn't mean you can take away my day with him. </i> No?	5905224	1658	US	2012
There's so much to do before the presentation.	I'm just questioning the timing. <i> There's so much to do before the presentation. </i> And I will get it done, okay?	4744540	495	US	2012
Her maiden name is Alex Roverson.	You know their C.E.O., Alex Birch? <i> Her maiden name is Alex Roverson. </i> Alex...	5905224	979	US	2012
Well, I hope you're enjoying the trip, sweetheart.	Cheers. <i> Well, I hope you're enjoying the trip, sweetheart. </i> We're just entering the beautiful state of North Carolina.	4744540	476	US	2012
I've never seen anything like it...	Guys, we're looking at an unprecedented meltdown here. <i> I've never seen anything like it... </i> Keller Zabel's loss today was the worst in over a year.	3967329	324	US	2010
- Nice to meet you, Mickey.	Mickey. <i> - Nice to meet you, Mickey. </i> Hope you like losing.	4744540	686	US	2012
We went to dental school together.	It's Alan Johnson, Charlie. <i> We went to dental school together. </i> Burrows Hall.	3151540	217	US	2007
Would you do this for me, Winn?	But let's say I could take out a loan against it, your risk as much as possible. <i> Would you do this for me, Winn? </i> Would you do this for me?	3967329	1898	US	2010
I'll put that on my list.	Now, what record collection's complete without this? <i> I'll put that on my list. </i> Hey, Alan.	3151540	1310	US	2007
After we saw him at the dinner, before you gave me the money.	I've been in contact with your father behind your back. <i> After we saw him at the dinner, before you gave me the money. </i> Why?	3967329	2017	US	2010
Didn't you read this morning's capital breakdown?	I don't understand. <i> Didn't you read this morning's capital breakdown? </i> No, I came right up to the roof.	3967329	1688	US	2010
Nice to make your acquaintance again.	I'm Alex Birch. <i> Nice to make your acquaintance again. </i> Ms. Birch.	5905224	795	US	2012
You loved him, didn't you?	I don't even like people speaking about the war. <i> You loved him, didn't you? </i> Yeah.	3179568	1330	UK	2006
Do you remember where we were in that one?	You really look alike on that one. <i> Do you remember where we were in that one? </i> Where?	3179568	2310	UK	2006
I just thought it'd be nice, like.	Not that many people have done it to me. <i> I just thought it'd be nice, like. </i> It'd make us feel closer and stuff.	3179568	1827	UK	2006
# Give it to me two time	# Huh <i> # Give it to me two time </i> # Huh, huh	3179568	34	UK	2006
