SENTENCE	FULL_CONTEXT	SLANG_TERM	ANNOTATOR_CONFIDENCE	MOVIE_ID	SENT_ID	REGION	YEAR	DEFINITION_SENTENCE	DEFINITION_SOURCE_URL	LITERAL_PARAPHRASE_OF_SLANG
Or maybe we could go somewhere and you could burn your tongue on some pizza.	Because that would make things even better. <i> Or maybe we could go somewhere and you could burn your tongue on some pizza. </i> I'd like that too.	burn your tongue	1	3151540	693	US	2007			
As I'm walking out to the mound, all I could think about was... all the legends that had played there before, you know?	I mean, it's Fenway. <i> As I'm walking out to the mound, all I could think about was... all the legends that had played there before, you know? </i> How'd you do?	mound	1	4744540	1106	US	2012			
My wife's had an accident with some Quaaludes.	- I'm up. <i> My wife's had an accident with some Quaaludes. </i> - So tired.	quaaludes	2	54446	1497	US	2000	a type of sedative or tranquilizer drug, specifically the brand name for the drug methaqualone. in the context provided, it suggests that the speaker's wife has had an accident while under the influence of quaaludes.	https://www.urbandictionary.com/define.php?term=quaalude	tranquilizers
Michael, would you put these lovely flowers in some water, please?	- Fabulous! <i> Michael, would you put these lovely flowers in some water, please? </i> He's our new assistant manager.	lovely	1	5905224	307	US	2012			
You just can't put me on watch dog anymore, all right?	Dude, you don't have to leave, all right? <i> You just can't put me on watch dog anymore, all right? </i> Yeah.	watch dog	2	5905224	200	US	2012	someone who is assigned to keep a lookout or guard over something or someone, often as a form of punishment or restriction.	https://www.urbandictionary.com/define.php?term=Watchdog	guardian
Four, five, six years of endless side roads and pointless detours.	College is a waste of time. <i> Four, five, six years of endless side roads and pointless detours. </i> My theory for life is simple... shortcuts.	endless	1	5905224	163	US	2012			
I thought maybe we could hang out, you know, do some stuff back home... like regular stuff... get to know each other a little bit better... and then I'd see you pee.	I just-- <i> I thought maybe we could hang out, you know, do some stuff back home... like regular stuff... get to know each other a little bit better... and then I'd see you pee. </i> I mean, you know, that's just the way I usually do it.	pee	1	54446	1073	US	2000			
Nice to meet you, Charlie.	He's my college roommate. <i> Nice to meet you, Charlie. </i> Well, thanks for seeing us on such short notice.	nice to meet you	1	3151540	1501	US	2007			
And only one reason to.	Dylan, I've given you every reason not to love me... <i> And only one reason to. </i> I love you.	love me	1	5905224	1776	US	2012			
I will call you if anyone, anywhere, gets drunk.	Keep the small bills on the outside, and call me if anyone gets drunk. <i> I will call you if anyone, anywhere, gets drunk. </i> - Good.	drunk	1	54446	493	US	2000			
From the looks of it, the only lifelong commitment you'll have is with your right hand.	Look, buddy, no need to worry. <i> From the looks of it, the only lifelong commitment you'll have is with your right hand. </i> Shit.	right hand	1	5905224	128	US	2012			
I know it's a bit long, but you understand why.	Okay. <i> I know it's a bit long, but you understand why. </i> Oh, I know!	long	1	5905224	592	US	2012			
- That I need some air.	- Well, what do you have to say? <i> - That I need some air. </i> You know?	air	1	3151540	1806	US	2007			
"And that's why she named me"" Lady."""	"Marry someone grand."" <i> And that's why she named me"" Lady."" </i> She named you"" Lady""?"	lady	1	54446	1583	US	2000			
I'm sorry, but, you know, you can't barge in and expect to become one of them in six months, either.	"I know. <i> I'm sorry, but, you know, you can't barge in and expect to become one of them in six months, either. </i> "" One of them""?"" Them""?"	barge	2	5905224	207	US	2012	to enter or intrude abruptly and without permission.		intrude
We'll be back to 65/ 70, and I'll be fine.	A month, a year, it doesn't matter. <i> We'll be back to 65/ 70, and I'll be fine. </i> You just gotta hold it, okay?	hold it	1	3967329	360	US	2010			
- You really think I should?	You both live in the same city. <i> - You really think I should? </i> - Yeah.	city	1	54446	1879	US	2000			
I'm flying to New York myself.	Forget it. <i> I'm flying to New York myself. </i> I've got a bunch of partial tickets.	flying	1	54446	1360	US	2000			
Look at all these fucking tasty-looking high school girls.	- Wake up, man. <i> Look at all these fucking tasty-looking high school girls. </i> We can't stop the bus every time you see a girl in shorts.	fucking	1	54446	760	US	2000			
It's just something Lou said about not waiting, you know?	What's wrong? <i> It's just something Lou said about not waiting, you know? </i> And I love you.	waiting	1	3967329	552	US	2010			
I'm stuck between Pale White and Moon White.	So, what have you been up to lately, Charlie? <i> I'm stuck between Pale White and Moon White. </i> I tried Butterscotch Yellow.	pale white and moon white	1	3151540	262	US	2007			
- and drinking little umbrella drinks.	You know, they already think I should be playing Bingo... <i> - and drinking little umbrella drinks. </i> - They can't fire you over an illness.	umbrella	1	4744540	444	US	2012			
- A lot of people like it.	- Yeah. <i> - A lot of people like it. </i> - Oh, I'm sorry.	yeah	1	5905224	278	US	2012			
Okay, then tell me the other half.	You don't know half of what you think you do. <i> Okay, then tell me the other half. </i> Goddamn it, Dad, talk to me.	half	1	4744540	1606	US	2012			
We got movement definitely on Tuesday of that week.	Robby, what do you got? <i> We got movement definitely on Tuesday of that week. </i> There was some large shorts from money out of the Cayman Islands.	movement	3	3967329	786	US	2010	financial activity or transactions, specifically the movement of money in and out of accounts.	https://www.urbandictionary.com/define.php?term=Movement	transactions
He tours with them, but not, you know, with them.	- I picked that up. <i> He tours with them, but not, you know, with them. </i> Yeah, they're on the top floor now.	with them	1	54446	527	US	2000			
That's the dynamic we agreed on.	From the very beginning, we said I'm the front man... and you're the guitarist with mystique. <i> That's the dynamic we agreed on. </i> Page, Plant, Mick, Keith-- but somehow it's all turning around.	dynamic	1	54446	852	US	2000			
And I will get it done, okay?	There's so much to do before the presentation. <i> And I will get it done, okay? </i> You can count on me.	get it done	1	4744540	496	US	2012			
